title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,sentiment,genres_list
21 Bridges,movie,"Action, Adventure, Crime",2019.0,tt8688634,6.6,78171.0,Neutral,"['Action', 'Adventure', 'Crime']"
Iliza: Elder Millennial,movie,Comedy,2018.0,tt8697266,7.2,4610.0,High,['Comedy']
Elisa & Marcela,movie,"Biography, Drama, Romance",2019.0,tt6704898,6.6,6221.0,Neutral,"['Biography', 'Drama', 'Romance']"
Ellen DeGeneres: Relatable,movie,Comedy,2018.0,tt7157574,6.5,5007.0,Neutral,['Comedy']
The Haunted House: The Secret of the Cave,movie,"Adventure, Animation, Comedy",2018.0,tt8714776,7.9,106.0,High,"['Adventure', 'Animation', 'Comedy']"
The Great Battle,movie,"Action, Drama, History",2018.0,tt6931414,7.0,6438.0,High,"['Action', 'Drama', 'History']"
Luciano Mellera: Infantiloide,movie,Comedy,2018.0,tt7607400,7.5,1578.0,High,['Comedy']
Swiped,movie,"Comedy, Romance",2018.0,tt4867110,2.8,12927.0,Low,"['Comedy', 'Romance']"
Lost,movie,Horror,2018.0,tt8802088,5.3,153.0,Low,['Horror']
An Anthology of Fellings,movie,Drama,2019.0,tt9558276,6.1,221.0,Neutral,['Drama']
Downton Abbey,movie,"Drama, Romance",2019.0,tt6398184,7.4,66741.0,High,"['Drama', 'Romance']"
An Unexpected Love,movie,"Comedy, Romance",2018.0,tt8405810,6.7,2664.0,Neutral,"['Comedy', 'Romance']"
My Masterpiece,movie,"Comedy, Drama",2018.0,tt7605922,7.1,7863.0,High,"['Comedy', 'Drama']"
Red Sea 4K,movie,Documentary,2016.0,tt7102844,6.3,84.0,Neutral,['Documentary']
Brian Banks,movie,"Biography, Drama, Sport",2018.0,tt3920820,7.2,10471.0,High,"['Biography', 'Drama', 'Sport']"
Secrets in the Hot Spring,movie,"Comedy, Horror",2018.0,tt8587122,6.1,1027.0,Neutral,"['Comedy', 'Horror']"
Distinction,movie,Drama,2018.0,tt9129808,6.3,232.0,Neutral,['Drama']
Hello Carbot the Movie: The Cretaceous Period,movie,"Adventure, Animation, Sci-Fi",2018.0,tt8727860,6.7,18.0,Neutral,"['Adventure', 'Animation', 'Sci-Fi']"
Godzilla: The Planet Eater,movie,"Action, Adventure, Animation",2018.0,tt8478602,5.1,5270.0,Low,"['Action', 'Adventure', 'Animation']"
"April, May and June",movie,Drama,2019.0,tt8885172,6.8,1042.0,Neutral,['Drama']
Hypnotic,movie,"Action, Drama, Mystery",2023.0,tt8080204,5.5,42114.0,Neutral,"['Action', 'Drama', 'Mystery']"
M3GAN,movie,"Horror, Sci-Fi, Thriller",2022.0,tt8760708,6.3,163010.0,Neutral,"['Horror', 'Sci-Fi', 'Thriller']"
Rompis,movie,"Drama, Romance",2018.0,tt8798274,6.2,246.0,Neutral,"['Drama', 'Romance']"
Queen & Slim,movie,"Crime, Drama, Romance",2019.0,tt8722346,7.1,36002.0,High,"['Crime', 'Drama', 'Romance']"
Cats,movie,"Comedy, Drama, Family",2019.0,tt5697572,2.8,57653.0,Low,"['Comedy', 'Drama', 'Family']"
Restaurant from the Sky,movie,Family,2019.0,tt8226802,5.9,121.0,Neutral,['Family']
"tick, tick... BOOM!",movie,"Biography, Comedy, Drama",2021.0,tt8721424,7.5,124466.0,High,"['Biography', 'Comedy', 'Drama']"
Hope Gap,movie,"Drama, Romance",2019.0,tt7587876,6.7,6600.0,Neutral,"['Drama', 'Romance']"
Duran Duran: There's Something You Should Know,movie,"Documentary, Music",2018.0,tt8638750,6.7,723.0,Neutral,"['Documentary', 'Music']"
Rampant,movie,"Action, Drama, History",2018.0,tt6927152,6.3,5117.0,Neutral,"['Action', 'Drama', 'History']"
Home Games,movie,Documentary,2018.0,tt7113012,7.4,57.0,High,['Documentary']
A Land Imagined,movie,"Drama, Mystery",2018.0,tt8726116,6.2,1594.0,Neutral,"['Drama', 'Mystery']"
Every Day a Good Day,movie,Drama,2018.0,tt7575778,7.1,1342.0,High,['Drama']
High Flash,movie,"Crime, Drama",2018.0,tt8463258,5.6,213.0,Neutral,"['Crime', 'Drama']"
Can You Keep a Secret?,movie,"Comedy, Romance",2019.0,tt8707922,5.4,22108.0,Low,"['Comedy', 'Romance']"
Yara,movie,"Drama, Romance",2018.0,tt7614016,6.5,340.0,Neutral,"['Drama', 'Romance']"
Those Who Work,movie,Drama,2018.0,tt7397958,6.9,946.0,Neutral,['Drama']
They'll Love Me When I'm Dead,movie,"Biography, Documentary",2018.0,tt6893836,7.4,5561.0,High,"['Biography', 'Documentary']"
Hello Mr. Billionaire,movie,Comedy,2018.0,tt8529186,6.1,2938.0,Neutral,['Comedy']
Love Between Teachers and Students,movie,Romance,2018.0,,6.1,0.0,Neutral,['Romance']
On My Skin: The Last Seven Days of Stefano Cucchi,movie,"Biography, Drama",2018.0,tt7121252,7.3,10518.0,High,"['Biography', 'Drama']"
First Kiss,movie,"Comedy, Romance",2018.0,tt8610996,4.0,163.0,Low,"['Comedy', 'Romance']"
Povestea unui pierde-vara,movie,"Comedy, Drama",2018.0,tt8299032,6.5,676.0,Neutral,"['Comedy', 'Drama']"
Demetri Martin: The Overthinker,movie,Comedy,2018.0,tt7725144,7.2,1959.0,High,['Comedy']
Pulang,movie,"Adventure, Drama, Romance",2018.0,tt8595708,6.7,675.0,Neutral,"['Adventure', 'Drama', 'Romance']"
Si Doel: The Movie,movie,"Drama, Romance",2018.0,tt8669070,6.8,446.0,Neutral,"['Drama', 'Romance']"
Arrivederci Saigon,movie,"Documentary, Music, War",2018.0,tt8759436,6.6,120.0,Neutral,"['Documentary', 'Music', 'War']"
The After Party,movie,"Comedy, Music",2018.0,tt3960240,5.8,4911.0,Neutral,"['Comedy', 'Music']"
We'll Be Young and Beautiful,movie,Drama,2018.0,tt8930424,6.2,151.0,Neutral,['Drama']
El Pepe: A Supreme Life,movie,"Biography, Documentary",2018.0,tt8900434,7.1,2231.0,High,"['Biography', 'Documentary']"
Coco y Raulito: Carrusel de ternura,movie,Comedy,2018.0,tt7607498,6.4,46.0,Neutral,['Comedy']
aKasha,movie,"Comedy, Romance",2018.0,tt7527512,6.8,73.0,Neutral,"['Comedy', 'Romance']"
Hide and Seek,movie,Comedy,2018.0,tt8575408,6.1,112.0,Neutral,['Comedy']
Regresa El Cepa,movie,Documentary,2019.0,tt8554462,6.1,35.0,Neutral,['Documentary']
Manta Ray,movie,Drama,2018.0,tt8837018,6.8,1055.0,Neutral,['Drama']
Soni,movie,"Crime, Drama",2018.0,tt6078866,7.1,3083.0,High,"['Crime', 'Drama']"
The Day I Lost My Shadow,movie,Drama,2018.0,tt8900142,6.1,334.0,Neutral,['Drama']
Tel Aviv on Fire,movie,"Comedy, Drama, Romance",2018.0,tt5791098,6.7,2681.0,Neutral,"['Comedy', 'Drama', 'Romance']"
Waiting for Spring,movie,"Family, Sport",2018.0,tt8390458,6.3,143.0,Neutral,"['Family', 'Sport']"
"Krepujace zdjecia z rodzinnego albumu, czyli zniszczona watroba i zlamane serce",movie,Drama,2018.0,tt8512676,4.3,35.0,Low,['Drama']
Joy,movie,Drama,2018.0,tt8917752,6.6,1490.0,Neutral,['Drama']
Long Live Brij Mohan,movie,"Comedy, Crime, Drama",2017.0,tt6514010,6.5,3957.0,Neutral,"['Comedy', 'Crime', 'Drama']"
Fantasy Island,movie,"Fantasy, Horror, Mystery",2020.0,tt0983946,4.9,61637.0,Low,"['Fantasy', 'Horror', 'Mystery']"
Zola,movie,"Comedy, Crime, Drama",2020.0,tt5439812,6.4,19120.0,Neutral,"['Comedy', 'Crime', 'Drama']"
